layernorm: model.layers.0.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.28.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.28.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.29.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.29.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.30.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.30.post_attention_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.31.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.31.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.32.input_layernorm.weight, dead_neurons_mask ct: 4.0
layernorm: model.layers.32.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.33.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.33.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.34.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.34.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.35.input_layernorm.weight, dead_neurons_mask ct: 3.0
layernorm: model.layers.35.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.36.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.36.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.37.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.37.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.38.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.38.post_attention_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.39.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.39.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.40.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.40.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.41.input_layernorm.weight, dead_neurons_mask ct: 2.0
layernorm: model.layers.41.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.42.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.42.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.43.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.43.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.44.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.44.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.45.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.45.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.46.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.46.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.47.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.47.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.48.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.48.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.49.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.49.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.50.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.50.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.51.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.51.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.52.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.52.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.53.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.53.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.54.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.54.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.55.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.55.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.56.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.56.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.57.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.57.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.58.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.58.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.59.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.59.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.60.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.60.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.61.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.61.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.62.input_layernorm.weight, dead_neurons_mask ct: 1.0
layernorm: model.layers.62.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.63.input_layernorm.weight, dead_neurons_mask ct: 0.0
layernorm: model.layers.63.post_attention_layernorm.weight, dead_neurons_mask ct: 0.0
